"","YearMonth","SiteCode","average_chl","YearMonthSite"
"1",Apr 2024,"SH",1.66666666666667,"Apr 2024_SH"
"2",Apr 2024,"YB",38.1066666666667,"Apr 2024_YB"
"3",May 2024,"BB",2.06,"May 2024_BB"
"4",May 2024,"CB",12.2783333333333,"May 2024_CB"
"5",May 2024,"FC",3.31,"May 2024_FC"
"6",May 2024,"RP",24.95,"May 2024_RP"
"7",May 2024,"SH",4.22666666666667,"May 2024_SH"
"8",May 2024,"TK",6.42,"May 2024_TK"
"9",May 2024,"YB",20.5066666666667,"May 2024_YB"
"10",Jun 2024,"BB",2.27166666666667,"Jun 2024_BB"
"11",Jun 2024,"CB",26.89,"Jun 2024_CB"
"12",Jun 2024,"FC",4.395,"Jun 2024_FC"
"13",Jun 2024,"RP",5.92,"Jun 2024_RP"
"14",Jun 2024,"SH",9.335,"Jun 2024_SH"
"15",Jun 2024,"YB",10.244,"Jun 2024_YB"
"16",Aug 2024,"BB",7.365,"Aug 2024_BB"
"17",Aug 2024,"FC",19.3883333333333,"Aug 2024_FC"
"18",Aug 2024,"SH",8.92166666666667,"Aug 2024_SH"
"19",Aug 2024,"TK",22.58,"Aug 2024_TK"
"20",Aug 2024,"YB",26.0483333333333,"Aug 2024_YB"
"21",Sep 2024,"BB",3.05333333333333,"Sep 2024_BB"
"22",Sep 2024,"CB",5.91666666666667,"Sep 2024_CB"
"23",Sep 2024,"FC",10.2333333333333,"Sep 2024_FC"
"24",Sep 2024,"RP",13.1066666666667,"Sep 2024_RP"
"25",Sep 2024,"SH",8.24,"Sep 2024_SH"
"26",Sep 2024,"YB",10.81,"Sep 2024_YB"
"27",Oct 2024,"BB",10.005,"Oct 2024_BB"
"28",Oct 2024,"CB",4.05333333333333,"Oct 2024_CB"
"29",Oct 2024,"RP",7.24333333333333,"Oct 2024_RP"
"30",Oct 2024,"SH",20.88,"Oct 2024_SH"
"31",Dec 2024,"BB",2.66,"Dec 2024_BB"
"32",Dec 2024,"SH",3.99,"Dec 2024_SH"
"33",Dec 2024,"YB",5.05333333333333,"Dec 2024_YB"
